Feature,Importance
OverallQual,0.579058908614424
GrLivArea,0.10814644105044423
TotalBsmtSF,0.03789786990774587
2ndFlrSF,0.032170920052205745
BsmtFinSF1,0.03030525736068574
GarageCars,0.02428316057942993
1stFlrSF,0.023819923858622506
GarageArea,0.012831911191585822
LotArea,0.01213618664373614
YearBuilt,0.008306798920783266
FullBath,0.008058873426507053
YearRemodAdd,0.007572878186761083
LotFrontage,0.006791151382795298
TotRmsAbvGrd,0.006118783048675999
GarageFinish_Unf,0.005354515397175562
MasVnrArea,0.004665879036233809
BsmtUnfSF,0.004533386771052403
OpenPorchSF,0.004381496869229979
WoodDeckSF,0.004329441264711085
GarageYrBlt,0.004251969815799331
OverallCond,0.004129882344899334
MoSold,0.003438006159682271
Fireplaces,0.0033940332795383216
BsmtQual_Ex,0.0031184787993990305
GarageType_Detchd,0.0022867971713202355
KitchenQual_Gd,0.0022255155176917067
MSSubClass,0.001857818382641577
BsmtQual_Gd,0.0017539014909891534
BedroomAbvGr,0.001701381794309641
KitchenQual_Ex,0.0016839036543748725
